word,reading
浴びる,あびる
危ない,あぶない
上げる,あげる
赤,あか
赤い,あかい
明るい,あかるい
開ける,あける
秋,あき
開く,あく
甘い,あまい
雨,あめ
飴,あめ
姉,あね
兄,あに
青,あお
青い,あおい
洗う,あらう
歩く,あるく
朝,あさ
朝ご飯,あさごはん
明後日,あさって
足,あし
明日,あした
遊ぶ,あそぶ
頭,あたま
新しい,あたらしい
暖かい,あたたかい
後,あと
暑い,あつい
厚い,あつい
熱い,あつい
会う,あう
晩ご飯,ばんごはん
番号,ばんごう
バス,ばす
バター,ばたー
ベッド,べっど
勉強,べんきょう
便利,べんり
病院,びょういん
病気,びょうき
茶色,ちゃいろ
茶碗,ちゃわん
父,ちち
違う,ちがう
小さい,ちいさい
近い,ちかい
地下鉄,ちかてつ
地図,ちず
台所,だいどころ
大学,だいがく
大丈夫,だいじょうぶ
大好き,だいすき
誰,だれ
机,つくえ
疲れる,つかれる
次,つぎ
着く,つく
作る,つくる
冷たい,つめたい
強い,つよい
手,て
テーブル,てーぶる
出口,でぐち
手紙,てがみ
出す,だす
電気,でんき
電車,でんしゃ
電話,でんわ
天気,てんき
ドア,どあ
トイレ,といれ
十,とお
遠い,とおい
時々,ときどき
時計,とけい
所,ところ
年,とし
図書館,としょかん
隣,となり
鳥,とり
撮る,とる
取る,とる
